eth_amount,energy,love_multiplier,love_per_eth
0.0001,1,10,10
0.0002,2,10,10
0.0005,5,10,10
0.0008,8,10,10
0.0009,9,10,10
0.001,10,10,10
0.0011,11,10,10
0.0012,12,10,10
0.002,20,10,10
0.003,30,10,10
0.004,40,10,10
0.005,50,9.5069,9.5069
0.006,60,9.5069,9.5069
0.007,70,9.5069,9.5069
0.008,80,9.5069,9.5069
0.009,90,9.5069,9.5069
0.01,100,9.5069,9.5069
0.02,200,9.5069,9.5069
0.03,300,9.0374,9.0374
0.04,400,9.0374,9.0374
0.05,500,8.5914,8.5914
0.06,600,8.5914,8.5914
0.07,700,8.1677,8.1677
0.08,800,8.1677,8.1677
0.09,900,7.7651,7.7651
0.1,1000,7.3825,7.3825
0.2,2000,7.3825,7.3825
0.3,3000,7.0191,7.0191
0.4,4000,6.6738,6.6738
0.5,5000,6.6738,6.6738
0.6,6000,6.3458,6.3458
0.7,7000,6.0341,6.0341
0.8,8000,6.0341,6.0341
1,10000,5.4566,5.4566
2,20000,5.1893,5.1893
5,50000,4.4648,4.4648
10,100000,3.4792,3.4792
20,200000,3.1504,3.1504
50,500000,2.3438,2.3438
80,800000,1.7505,1.7505
90,900000,1.5899,1.5899
95,950000,1.5156,1.5156
99,990000,1.5156,1.5156
100,1000000,0.1,0.1
101,1010000,0.1,0.1
105,1050000,0.1,0.1
110,1100000,0.1,0.1
120,1200000,0.1,0.1
150,1500000,0.1,0.1
200,2000000,0.1,0.1
